,GBOV_ID,Site,GROUND_DATA_PI,GROUND_DATA_PIs_Email,GBOV_Email,Network,Elevation,IGBP_class,Lat_IS,Lon_IS,TIME_IS,Version,up_flag,down_flag,LAI_Miller_up,LAI_Warren_up,LAIe_Miller_up,LAIe_Warren_up,LAI_Miller_down,LAI_Warren_down,LAIe_Miller_down,LAIe_Warren_down,LAI_Miller_up_err,LAI_Warren_up_err,LAIe_Miller_up_err,LAIe_Warren_up_err,clumping_Miller_up,clumping_Warren_up,LAI_Miller_down_err,LAI_Warren_down_err,LAIe_Miller_down_err,LAIe_Warren_down_err,clumping_Miller_down,clumping_Warren_down,clumping_Miller_up_err,clumping_Warren_up_err,clumping_Miller_down_err,clumping_Warren_down_err
10,GBOV_RM7_1247,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T000000Z,2.0,0.0,0.0,4.55,3.91,2.94,2.59,1.26,0.88,0.89,0.64,0.14,0.21,0.09,0.18,0.645,0.66,0.15,0.23,0.07,0.11,0.71,0.72,0.029,0.06,0.1,0.22
11,GBOV_RM7_1247,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T091500Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GBOV_RM7_1250,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180814T000000Z,2.0,0.0,0.0,5.26,4.37,3.59,3.07,0.92,0.74,0.68,0.55,0.16,0.16,0.11,0.13,0.683,0.7,0.09,0.15,0.06,0.09,0.74,0.74,0.03,0.04,0.1,0.2
13,GBOV_RM7_1250,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180814T082800Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,GBOV_RM7_1205,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180815T000000Z,2.0,0.0,0.0,3.57,3.14,2.5,2.23,2.16,1.56,1.46,1.11,0.12,0.16,0.08,0.1,0.701,0.71,0.16,0.22,0.09,0.13,0.68,0.71,0.031,0.05,0.07,0.13
15,GBOV_RM7_1205,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180815T081300Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GBOV_RM7_1548,Jones Ecological Research Center,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,44,Evergreen Needleleaf,31.1948394775391,-84.468777,20190827T061800Z,2.0,0.0,0.0,0.47,0.72,0.255,0.405,2.38,1.71,1.93,1.45,0.06,0.08,0.026,0.032,0.54,0.56,0.11,0.11,0.08,0.09,0.81,0.85,0.09,0.08,0.05,0.08
17,GBOV_RM7_1530,Jones Ecological Research Center,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,44,Evergreen Needleleaf,31.1948394775391,-84.468777,20190821T195000Z,2.0,0.0,0.0,1.09,0.78,0.783,0.5,2.02,1.5,1.88,1.42,0.04,0.08,0.029,0.04,0.72,0.64,0.07,0.08,0.06,0.06,0.93,0.94,0.04,0.08,0.04,0.06
18,GBOV_RM7_1238,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T000000Z,2.0,0.0,0.0,4.52,4.03,2.92,2.72,1.64,1.16,1.35,1.0,0.15,0.16,0.09,0.12,0.645,0.67,0.09,0.11,0.07,0.1,0.82,0.86,0.03,0.04,0.06,0.12
19,GBOV_RM7_1238,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T105200Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,GBOV_RM7_1536,Jones Ecological Research Center,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,44,Evergreen Needleleaf,31.1948394775391,-84.468777,20190820T074600Z,2.0,0.0,0.0,0.67,0.87,0.468,0.58,2.34,1.49,2.13,1.42,0.04,0.08,0.025,0.04,0.7,0.66,0.07,0.07,0.07,0.06,0.91,0.95,0.06,0.08,0.04,0.06
21,GBOV_RM7_1557,Jones Ecological Research Center,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,44,Evergreen Needleleaf,31.1948394775391,-84.468777,20190828T072400Z,2.0,0.0,0.0,1.79,1.25,1.2,0.89,1.91,1.63,1.62,1.4,0.08,0.1,0.06,0.06,0.67,0.71,0.09,0.15,0.07,0.1,0.85,0.86,0.04,0.07,0.05,0.1
22,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170425T000000Z,2.0,0.0,0.0,3.7,3.27,2.33,2.09,0.169,0.134,0.157,0.123,0.12,0.2,0.07,0.12,0.63,0.64,0.02,0.029,0.017,0.019,0.93,0.92,0.029,0.05,0.15,0.24
23,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170425T103100Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170508T000000Z,2.0,0.0,0.0,3.92,3.49,2.43,2.23,0.067,0.056,0.062,0.054,0.13,0.19,0.08,0.13,0.62,0.64,0.009,0.011,0.008,0.01,0.93,0.96,0.028,0.05,0.17,0.26
25,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170508T132600Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170523T000000Z,2.0,64.0,64.0,3.81,3.46,2.65,2.41,0.253,0.22,0.227,0.183,0.11,0.17,0.07,0.1,0.697,0.69,0.029,0.06,0.021,0.033,0.9,0.83,0.028,0.04,0.13,0.28
27,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170523T053500Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170605T000000Z,2.0,0.0,0.0,4.21,3.85,3.28,2.97,0.221,0.14,0.18,0.127,0.12,0.16,0.08,0.11,0.778,0.77,0.032,0.04,0.022,0.028,0.82,0.89,0.029,0.04,0.15,0.3
29,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170605T111000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170621T000000Z,2.0,0.0,0.0,4.79,3.71,3.62,2.81,0.281,0.208,0.251,0.192,0.13,0.14,0.09,0.11,0.757,0.76,0.028,0.035,0.021,0.026,0.89,0.92,0.028,0.04,0.12,0.2
31,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170621T052500Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170705T000000Z,2.0,0.0,0.0,4.94,3.83,3.74,2.92,0.48,0.338,0.434,0.323,0.13,0.16,0.1,0.11,0.757,0.76,0.04,0.033,0.026,0.028,0.91,0.96,0.028,0.04,0.09,0.13
33,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170705T053600Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170718T000000Z,2.0,0.0,64.0,4.75,4.31,3.56,3.22,0.53,0.43,0.5,0.4,0.13,0.19,0.1,0.14,0.75,0.75,0.03,0.06,0.027,0.05,0.94,0.93,0.029,0.05,0.07,0.16
35,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170718T054900Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170801T000000Z,2.0,0.0,0.0,4.86,3.71,3.66,2.83,0.535,0.38,0.503,0.36,0.13,0.14,0.09,0.11,0.754,0.76,0.033,0.05,0.027,0.04,0.94,0.95,0.028,0.04,0.08,0.16
37,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170801T054900Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170815T000000Z,2.0,0.0,0.0,4.88,4.35,3.72,3.32,0.205,0.18,0.179,0.148,0.13,0.17,0.1,0.14,0.763,0.76,0.022,0.05,0.017,0.024,0.87,0.8,0.029,0.04,0.12,0.27
39,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170815T085900Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170829T000000Z,2.0,0.0,0.0,4.74,4.02,3.49,2.99,0.17,0.14,0.16,0.133,0.14,0.18,0.1,0.13,0.737,0.74,0.013,0.018,0.011,0.015,0.94,0.95,0.03,0.05,0.1,0.16
41,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170829T062200Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170912T000000Z,2.0,0.0,0.0,4.73,3.77,3.58,2.8,0.246,0.16,0.201,0.145,0.13,0.16,0.09,0.11,0.757,0.74,0.035,0.04,0.026,0.033,0.82,0.89,0.029,0.04,0.16,0.29
43,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170912T065000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170928T000000Z,2.0,0.0,0.0,4.61,3.62,3.41,2.68,0.304,0.237,0.285,0.226,0.13,0.15,0.09,0.11,0.739,0.74,0.023,0.029,0.018,0.024,0.94,0.95,0.028,0.04,0.09,0.16
45,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20170928T065200Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20171009T000000Z,2.0,0.0,0.0,4.33,4.12,3.25,3.11,0.168,0.136,0.148,0.125,0.12,0.16,0.09,0.12,0.75,0.75,0.022,0.029,0.018,0.024,0.88,0.92,0.028,0.04,0.16,0.26
47,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20171009T100100Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20171024T000000Z,2.0,0.0,0.0,4.22,3.8,2.75,2.44,0.177,0.161,0.17,0.15,0.12,0.15,0.08,0.13,0.652,0.64,0.016,0.035,0.013,0.027,0.96,0.93,0.027,0.04,0.11,0.26
49,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20171024T074400Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180424T000000Z,2.0,0.0,0.0,3.68,2.77,2.3,1.73,0.118,0.097,0.108,0.091,0.12,0.16,0.07,0.1,0.624,0.62,0.011,0.015,0.009,0.012,0.91,0.94,0.028,0.05,0.12,0.19
51,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180424T062700Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180509T000000Z,2.0,0.0,0.0,3.7,2.78,2.26,1.68,0.171,0.148,0.159,0.142,0.12,0.14,0.07,0.09,0.612,0.6,0.013,0.018,0.011,0.016,0.93,0.96,0.027,0.05,0.1,0.16
53,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180509T055700Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180522T000000Z,2.0,0.0,0.0,4.2,3.67,3.07,2.65,0.284,0.23,0.254,0.216,0.14,0.2,0.09,0.14,0.731,0.72,0.035,0.04,0.025,0.029,0.9,0.93,0.032,0.06,0.14,0.19
55,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180522T093500Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180605T000000Z,2.0,0.0,0.0,4.06,3.77,3.07,2.66,0.214,0.154,0.179,0.141,0.11,0.17,0.08,0.12,0.756,0.71,0.031,0.03,0.021,0.024,0.84,0.92,0.029,0.04,0.16,0.24
57,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180605T054500Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180619T000000Z,2.0,0.0,0.0,4.39,4.05,3.4,3.07,0.41,0.289,0.366,0.273,0.12,0.14,0.09,0.12,0.773,0.76,0.04,0.035,0.027,0.03,0.89,0.95,0.028,0.04,0.11,0.15
59,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180619T053100Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
60,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180703T063300Z,2.0,0.0,0.0,5.15,4.16,3.9,3.12,0.27,0.209,0.222,0.193,0.13,0.16,0.1,0.11,0.759,0.75,0.04,0.035,0.025,0.03,0.83,0.92,0.028,0.04,0.15,0.21
61,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180717T000000Z,2.0,0.0,0.0,4.84,4.31,3.73,3.3,0.29,0.21,0.244,0.19,0.13,0.15,0.09,0.12,0.77,0.77,0.04,0.05,0.026,0.04,0.85,0.9,0.028,0.04,0.14,0.29
62,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180717T055400Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180731T000000Z,2.0,64.0,0.0,5.35,4.45,4.0,3.35,0.248,0.184,0.215,0.17,0.14,0.17,0.1,0.13,0.748,0.75,0.03,0.035,0.022,0.029,0.87,0.92,0.028,0.04,0.14,0.23
64,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180731T055300Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
65,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180814T000000Z,2.0,0.0,64.0,4.67,4.38,3.56,3.24,0.47,0.35,0.44,0.331,0.12,0.16,0.09,0.14,0.763,0.74,0.04,0.04,0.025,0.031,0.93,0.96,0.028,0.04,0.09,0.14
66,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180814T061000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180829T065600Z,2.0,0.0,0.0,4.54,3.52,3.28,2.51,0.571,0.417,0.558,0.411,0.13,0.16,0.09,0.1,0.722,0.71,0.017,0.02,0.016,0.02,0.98,0.99,0.028,0.04,0.04,0.07
68,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180910T000000Z,2.0,0.0,0.0,4.95,4.29,3.72,3.17,0.24,0.16,0.183,0.114,0.13,0.17,0.1,0.15,0.752,0.74,0.04,0.07,0.029,0.033,0.77,0.7,0.028,0.05,0.18,0.4
69,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180910T110000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180925T000000Z,2.0,0.0,0.0,4.68,4.31,3.49,3.16,0.199,0.16,0.171,0.13,0.14,0.18,0.1,0.13,0.747,0.73,0.026,0.05,0.021,0.04,0.86,0.84,0.03,0.04,0.16,0.35
71,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180925T080800Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20181010T000000Z,2.0,0.0,0.0,4.3,4.1,2.98,2.79,0.149,0.093,0.126,0.083,0.12,0.18,0.08,0.14,0.691,0.68,0.024,0.018,0.018,0.015,0.85,0.89,0.027,0.04,0.18,0.24
73,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20181010T074600Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20181023T000000Z,2.0,0.0,0.0,4.27,4.07,2.83,2.66,0.163,0.13,0.144,0.122,0.12,0.22,0.08,0.14,0.662,0.65,0.022,0.023,0.016,0.02,0.89,0.94,0.027,0.05,0.16,0.23
75,GBOV_RM7_187,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20181023T072800Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
